,id,text,number_of_retweets,number_of_favorites,date,language
199,1508622046451929093,"Ufaaaa, mto feliz que voltei com o físico de 2 anos atrás pro fut 🙏🏻🙏🏻",0,0,2022-03-29 01:48:19+00:00,
200,1508622044589703168,"BASTA BASTAA estoy muy feliz por los 10 millones de @DanielaRodrice, me puse a llorar con sus historias",0,0,2022-03-29 01:48:18+00:00,
201,1508622044224761862,Sea feliz sin hacer tanta bulla que publicar pullas pa llamar la atención de otra vida; solo significa que usted no… https://t.co/6nQIoADUiU,0,0,2022-03-29 01:48:18+00:00,
202,1508622042949689348,"Viu, vc conseguiu sem mim  fico feliz por isso 🙂",0,0,2022-03-29 01:48:18+00:00,
203,1508622039946567684,de la nada me llego un msj de charly alberti y me quede re ??????? hasta que me acorde que ayer le mande un feliz c… https://t.co/f47HHuvWOm,0,0,2022-03-29 01:48:17+00:00,
204,1508622037614428161,Seria mas feliz con un septum,0,0,2022-03-29 01:48:17+00:00,
205,1508622037094481920,"véi, eu amo demais meu pai e sou muuuuito feliz de ter ele como amigo(digo na questão de realmente SABER que posso contar com ele pra tudo).",0,0,2022-03-29 01:48:17+00:00,
206,1508622036771430406,"@vicksty28 @VictalinoAmanda A probabilidade é minuscula, mas se acontecer, eu vou ficar feliz por eles ué!!! KAKAKAKKA",0,0,2022-03-29 01:48:17+00:00,
207,1508622036251332610,@demiapetitosa não sei se fico feliz ou triste com esse comentário,0,0,2022-03-29 01:48:16+00:00,
208,1508622032501719048,essa hora e eu chorando com o vídeo da Jade conhecendo a Aurora tá feliz dani choma,0,0,2022-03-29 01:48:16+00:00,
209,1508622029339209734,@giulianapantinv nada me hace más feliz que el en esa foto,0,0,2022-03-29 01:48:15+00:00,
